CREATE_DATE,OPERATOR,TYPE,PARTNUMBER,LOTID,VERSION,UNIT,DATA_VOL,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,AVERAGE,DATA_MIN,DATA_MAX,DATA_RANGE,SU,SL,UCL,LCL,RS_UCL,USER_COMMENT,ISSUE_NO
20221106102457,HVPQC010,D4-L/RD-YRT01 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWEBY-6SB,T0TT000244,0,MM,6,133.347,133.376,133.355,133.362,133.37,133.369,,,,,,,,,,,,,,,133.363,133.347,133.376,0.029,133.48,133.22,133.445,133.295,0.1036,YRT-01,
20221106102457,HVPQC010,D4-L/RD-YRT02 ROUTING PCB DIMENSION CHECK A,M393A2K40EB3-CWEBY-6SB,T0B1000244,1,MM,6,133.383,133.384,133.384,133.372,133.37,133.371,,,,,,,,,,,,,,,133.377,133.37,133.384,0.014,133.48,133.22,133.43,133.29,0.094,YRT-02,
20221106102457,HVPQC010,D4-L/RD-5 ROUTING PCB DIMENSION CHECK A,M393A4K40EB3-CWEBY-6SC,H0ZP000244,0,MM,6,133.329,133.334,133.328,133.325,133.326,133.331,,,,,,,,,,,,,,,133.329,133.325,133.334,0.009,133.48,133.22,133.356,133.318,0.1329,RT-05,
20221106102457,HVPQC010,D4-L/RD-10 ROUTING PCB DIMENSION CHECK A,M393A4K40EB3-CWEBY-6SC,H0ZT000244,1,MM,6,133.4,133.387,133.398,133.388,133.393,133.414,,,,,,,,,,,,,,,133.397,133.387,133.414,0.027,133.48,133.22,133.48,133.298,0.1059,RT-10,
20221106102457,HVPQC010,D4-L/RD-YRT6 ROUTING PCB DIMENSION CHECK A,M393A4K40EB3-CWEBY-6SC,H1LS000244,1,MM,6,133.398,133.394,133.388,133.389,133.383,133.396,,,,,,,,,,,,,,,133.391,133.383,133.398,0.015,133.48,133.22,133.48,133.22,0.13,YRT-06,
20221106102457,HVPQC010,D4-L/RD-YRT 12 ROUTING PCB DIMENSION CHECK A,M393A4K40DB3-CWECO-6SC,H0R7000244,0,MM,6,133.374,133.358,133.371,133.362,133.373,133.364,,,,,,,,,,,,,,,133.367,133.358,133.374,0.016,133.48,133.22,133.48,133.22,0.13,YRT-12,
20221106102457,HVPQC010,D4-L/RD-YRT 13 ROUTING PCB DIMENSION CHECK A,M393A8G40BB4-CWEGY-6SB,H0ZI000244,0,MM,6,133.383,133.387,133.356,133.381,133.382,133.38,,,,,,,,,,,,,,,133.378,133.356,133.387,0.031,133.48,133.22,133.48,133.22,0.13,YRT-13,
20221106102457,HVPQC010,D4-L/RD-YRT03 ROUTING PCB DIMENSION CHECK A,M393A2K40EB3-CWEBY-6SB,N0G2000244,0,MM,6,133.382,133.387,133.354,133.378,133.384,133.385,,,,,,,,,,,,,,,133.378,133.354,133.387,0.033,133.48,133.22,133.439,133.295,0.0918,YRT-03,
20221106102457,HVPQC010,D5-SO/D-YRT-04 ROUTING DIMENSION CHECK A,M425R1GB4BB0-CQKOL-6YB,T1RJ000244,0,MM,6,69.59,69.593,69.585,69.582,69.576,69.574,,,,,,,,,,,,,,,69.583,69.574,69.593,0.019,69.73,69.47,69.73,69.47,0.14,YRT-04,
20221106102457,HVPQC010,D5-SO/D-YRT-05 ROUTING DIMENSION CHECK A,M425R2GA3BB0-CQKOL-6YB,T1LV000244,1,MM,6,69.599,69.598,69.608,69.599,69.613,69.618,,,,,,,,,,,,,,,69.606,69.598,69.618,0.02,69.73,69.47,69.73,69.47,0.14,YRT-05,
